user_uid,churn_proba,monetary_total,freq_total,tenure_days,orders_last_30d,main_city,sex,level,source
002cjigqy3zbbtaehc5a7f0iod,1.0,150.0,1,645,0.0,,,,website
00bcwo2xxxya7mdn6morwb9z83,0.985,240.7,1,345,0.0,,,,website
00ftfeowofaqly6njxhyy1srzh,0.8727499999999999,171.0,3,302,0.0,,,,app
00gzyg1bjsnhvde2vlrevyrnko,0.8,317.0,7,710,0.0,,,,website
00iyvu3yb6upqilh9zhwfs9c1u,1.0,962.0,1,650,0.0,,,,website
00lqlcutifxsq1q35cicqfjex6,1.0,438.0,1,281,0.0,,,,website
00n5468grguab5xu0014w6u3us,0.98,545.45,1,616,0.0,,,,website
00o8xgu0o7h05rpcjoboxa4etv,0.975,297.0,2,628,0.0,,M,intermediate,website
00tekp6bniwt0uvvqqamqjaupt,0.831,315.4,4,708,0.0,,,,app
011nldau3gvaqnrjgsnwl3noua,0.9,191.0,2,641,0.0,,M,intermediate,website
011xwpo7a0fatyiduz8ft8hqxt,0.965,135.0,3,261,0.0,,,,website
01a4mkn4hhmwgtrig7pyvf0oxh,1.0,412.0,1,624,0.0,,,,website
01bqfez883sgioi7raqqyqwbda,1.0,333.0,1,694,0.0,,,,website
01d8g8ivdqwublmc19vifdwgpg,1.0,764.95,1,648,0.0,,,,website
01fetdnwpuvkhfbtdhevafdcg9,1.0,318.0,1,641,0.0,,,,app
01hff2m5ygprzaw6pfthgeivzd,0.97,184.0,4,710,0.0,,,,website
01r9larxe6xrzdgsqzfq2edoyj,1.0,398.0,1,686,0.0,,,,website
01xnyawmkwwjcdtcsma5kgik8q,1.0,1338.0,1,241,0.0,,,,website
01y9fka5m5pqthpigkgwyjmko9,0.865,166.0,1,339,0.0,,,,website
01yydmixtvoar5zrm7glp4lsro,0.995,305.1,1,650,0.0,,,,website
01zn9e6rrkbi73cdv3qzhzl3pd,0.845,616.0,12,715,0.0,,,,website
026tj6sicstsugahr1ykj5wziq,0.995,549.45,2,341,0.0,,,,website
028dl0rfkjtvnxrpympabayal7,1.0,690.0,2,6,2.0,,,,website
02cqa5wq02wnb5kq2iduqqtqam,1.0,135.0,1,638,0.0,,,,website
02gvugxkexyaeagpyn73innvzu,0.95,176.0,1,281,0.0,,,beginner,website
02hdlbppdegzkxem3w60o2i53t,0.985,168.0,2,652,0.0,,,,website
02n0t0jzxrflvj4qyd9lmlnnht,0.98,184.0,3,301,0.0,,,,website
02n1qeevjnsdx31ewqpqmhljfu,0.6725,141.0,3,700,0.0,,,,app
02pey17uwxwas9hmm1rlwsbwlq,0.985,188.55,1,670,0.0,,,,website
02qi3vnbdyvexi653ldfodkjew,0.89,156.0,1,251,0.0,,,,website
02syxs469dqhp1y2txuzdkgguv,1.0,163.2,1,301,0.0,,,,website
02xt4ftj2hbmxduif6no6qfb0g,0.79,795.4,8,665,0.0,,,,app
02yxeh59kczfvnjznlwwftwh6d,0.98,1218.8,1,395,0.0,,,,website
033pmutnl5xfd2wh8qyrhvvaz7,0.995,459.2,2,266,0.0,,,,welfare
03aq0myhlzaq7q9stnbcrr4egi,1.0,222.0,1,660,0.0,,,,website
03eepacv41y4htsfhbjgtb1qeh,0.98,228.0,1,638,0.0,,,,website
03iabld1pnpno5st6zulkjhdku,0.98,646.05,1,375,0.0,,,,website
03kbz92oxew3tpnmukvqe6hzax,0.73,454.0,3,691,0.0,cairate,F,intermediate,website
03lfsy0km7xu1nsbcl2ymv5gvd,0.955,406.4,1,316,0.0,,,,website
03lugbmltsrv1uj3v1zwo4wb4i,0.855,205.5,3,690,0.0,,,,app
03nsjimuurc87vwts68gaalkai,0.975,135.0,2,636,0.0,,,,website
03r5afbpxbhznr2kfkqp6p3rvq,0.9741666666666666,176.0,2,687,0.0,,,,website
03rud1dbumh9fiesbwlbkub1q1,0.955,637.5999999999999,2,304,0.0,,,,website
03s5q29aebyizqe595gpz3045y,0.975,246.8,2,285,0.0,,,,website
03tlniwktdgm8da6orio0wfp3t,1.0,153.0,1,608,0.0,,,,website
03uvna7ddaxogfuyrnguk27u56,0.755,304.0,6,653,0.0,,,,website
03vtdx2cnpqccqqzvk332okg3h,0.995,222.5,1,310,0.0,,,,website
03yoaoyfjiy0sycoc18ntsmaoh,1.0,198.0,2,673,0.0,,,,website
043qmmlwvzmo8clgedy30q5bqi,0.99,172.0,1,307,0.0,,,,website
045bgcaqzpfjlj74rzii82shbr,0.98,181.8,2,665,0.0,,,,website
04aqgl5i4acv8917htqp22fhyw,0.96,188.2,1,707,0.0,,M,expert,website
04bq9flgpdx9feetih80qotd84,0.995,986.0,1,281,0.0,,,,website
04inxqwsikhoxsjbpxlccrpzkg,0.85,202.0,5,701,0.0,,,,website
04iwbcmlixeecslzbbeodc6ebe,0.955,354.0,1,691,0.0,,,,website
04rvonkepasoy7kblmwnu4z8tg,1.0,204.0,1,675,0.0,,,,website
04upjukb2yejiztctfvqqkjub7,1.0,130.0,1,331,0.0,,,,website
056r6z9v4deqfturph5vppk7t2,0.945,164.0,3,659,0.0,,F,beginner,website
058dc9skohspywgdtqdtw3tasa,0.9,397.2,1,370,0.0,,,,website
058eiygiwtonghadjw9vqrmnph,0.885,244.0,3,332,0.0,,,,app
05erqexc6ahydmognx7cuw1ply,0.92,887.8,4,322,0.0,,,,website
05jychyk6hvqm2wrylp0yv1xae,0.825,384.0,6,716,0.0,,,,app
05k2znpxifxycl6g3jqfrpa0j3,0.935,283.5,3,686,0.0,,,,website
05l1fd76nqmsgdqdptkerd9izm,0.81,624.0,7,694,0.0,,F,intermediate,website
05lsc207pgbpx4oiqa4arvbtcw,0.885,172.0,2,310,0.0,,M,intermediate,website
05ohilsvktxwc9ep72rzghtgld,0.985,1450.0,1,29,1.0,,,,website
05pciardkcglkqjgyu9xos78ey,0.8783333333333333,209.2,3,274,0.0,,,,app
05qu6tbtb3cbyrcqdputbhbgvr,0.7141666666666667,464.3,7,685,0.0,,,,app
05ssknscdux692swup3u4gblue,1.0,257.6,1,637,0.0,,,,website
05ti1x5islsrqp5x6wwy4qcswl,0.955,203.0,1,276,0.0,,,,terze_parti
05wgjfddufnyo8a3hk4h3qvulw,0.97,127.0,2,681,0.0,,,,website
05xhrxctzustadj7bdxo7ray7i,1.0,327.45,1,623,0.0,,,,website
0610pbwvqnaxyqreho9k0klp1l,0.86,204.2,2,701,0.0,,,,website
061s9gpintrch5qudaqcctocev,1.0,151.6,1,332,0.0,,,,website
06adgehdlrzyruignja6o6hhkm,0.8883333333333334,139.4,2,356,0.0,,F,intermediate,app
06bmj6qukuutv2bbrlei3do0sl,0.86,173.0,3,674,0.0,,,,app
06c3s1i2orhcrivw4cg3xdabva,1.0,168.0,1,616,0.0,,,,website
06fmjznz3ibszqmu8u8pcuycsn,0.87,293.0,2,688,0.0,,,,website
06hdmunt1smwsiznz1wpzfovw3,0.995,251.6,4,686,0.0,,,,website
06jjcs9oxgpz2ys45xyxqw74kf,0.9854166666666667,179.0,3,711,0.0,,,,app
06lltlygqmqedozbo8086hqd7e,0.775,336.5,6,708,0.0,,,,app
06mcje9xmahmyc7vppiprcbfay,0.85,294.0,6,693,0.0,,,,website
06prmrcspvpt0ltmqxl1uzhrjt,0.77,300.0,7,673,0.0,,,,app
06wjutqp2xwpjc05y1rekkdf1d,0.845,445.5,3,320,0.0,,F,beginner,app
07ctz5gypeoqiwipskryd7nsmq,0.89,136.0,1,275,0.0,,,,website
07exjoqbcqrbvwebtbr7jsjbtq,0.755,378.9,3,637,0.0,,,,app
07k3lvctg9yuqmsbgyouu2aj3v,0.86,212.0,1,327,0.0,,,,app
07lfq6n7zyneuwfsnpiinwgh5i,0.915,217.0,1,290,0.0,,,,website
07ptyhufk2g7cb8pbpwrmmf1rf,0.715,477.6,4,324,0.0,,,,website
07puhksy3urklr2kara4xof3rv,0.675,328.0,2,723,0.0,,,,website
07swcsjeufnjsxbranpyg1geiq,0.865,1135.25,2,653,0.0,,,,website
07yyaktj7mcgineypcmkulf804,0.6525,259.0,6,691,0.0,,,,app
083c5uqqvkmztv2tmvppnzq26o,0.934,174.0,1,320,0.0,,,,website
08dshle3s0q6o49y5l3ounuudw,0.975,244.0,2,675,0.0,,M,beginner,website
08jcq8tzouf9xvxg3yvlxksjhf,0.97,840.0,2,284,0.0,,,,website
08k5np9xm5wfavx77ottreh3ne,0.995,326.9,1,284,0.0,,,,welfare
08oqcjordeah33ynichj3zmsdb,1.0,189.0,1,692,0.0,,,,website
08q43euu8rw9hmcan8hafinkwa,0.7785553523666633,132.0,1,359,0.0,,,,website
08r5zbvyqvznkh0epneyvwtm7r,1.0,163.0,1,277,0.0,,,,website
08t8eoxkrszsrgpj4otyocuo3a,1.0,133.0,3,345,0.0,,,,website
08xgeujnwgw27hmc7xmqa4yaea,1.0,135.0,1,655,0.0,,,,app
08yqewohipwh9teruukcdv6psw,0.975,678.0,1,327,0.0,,,,website
08yw2amm0ezxvptb5wnj9nwl00,0.995,450.0,1,7,1.0,bellano,F,expert,website
09d6mvghmsq6jmi3o5oohjkrrz,0.96,566.4,1,282,0.0,,,,website
09ech4ezkfe0b6iqyhsfgxe6sf,0.78,313.0,3,659,0.0,,M,intermediate,website
09h0ks6wborbsacc2tjmjskabb,0.995,762.8,1,346,0.0,,F,beginner,website
09ilm9owfeuq6n0npfad6go5xa,0.995,708.2,1,651,0.0,,,,website
09k82v3hqsbkomdiazh4nl4kn4,0.7325,135.0,2,320,0.0,,,,website
09mdsoctewrupaqijkpcnwghcf,0.885,150.0,4,690,0.0,,,,website
09uq83oayubvlpw30wcsrsypee,0.965,250.5,1,670,0.0,,,,app
09w5ajt0w4olarb7fhtatm2d42,1.0,172.0,1,646,0.0,,,,website
09xul0sc4xwpgz1lcqt0phy9ur,0.97,450.0,1,11,1.0,carugate,M,expert,website
0a0ug6qam2ukr24zhppxgqlsbc,1.0,126.0,1,279,0.0,,,,website
0a0ukf6lyhzlqhfusaf1jlhieb,1.0,126.0,1,296,0.0,,,,website
0a5biuk15kbwcje8lxs2z0bph5,0.675,134.6,2,652,0.0,,M,expert,app
0aa9qmysclzwrxfrwcxwq95woz,1.0,649.0,1,641,0.0,,,,website
0aiwgda62xs0wycly7yuanc0en,0.875,250.8,4,325,0.0,,,,website
0ajw8hgo8hz2vo4qjg7ahxiukt,1.0,248.5,1,266,0.0,,,,website
0akdabjcywy4nbvtflh4z2hxsq,1.0,351.0,1,354,0.0,,,,website
0akvwwsz9zv7unygghlrxwlrum,0.99,139.0,2,345,0.0,,,,website
0alrrp1zl0dvbtdtlycaegoxez,0.985,298.0,1,268,0.0,,F,beginner,welfare
0anobwxiofwn3tbjfo4947sqzi,0.995,132.0,1,663,0.0,,,,website
0anqmdxwpvywbye1ztt7oh5cs2,0.85,335.5,1,332,0.0,,,,website
0aojmztvpzh6qssvn50omynckh,1.0,802.8,1,318,0.0,,,,website
0asvffqr20f6nc3t9tpxjxykhl,0.99,503.5,1,267,0.0,,M,beginner,website
0aubib5dmrwavwq777dg7urbmg,0.9716666666666666,150.7,1,342,0.0,,,,app
0axvokr30ovufsjl4efhm7xkm5,0.89,451.5,5,696,0.0,,M,beginner,website
0ayvlst8ocumtydzpzblmwi8uc,0.835,198.0,4,708,0.0,,,,website
0azd46eslsqbdsupwnjtsvuhdg,0.995,133.0,1,254,0.0,,,,website
0b2pjwplyjukh1rci8h5kxkmcf,0.925,500.0,1,359,0.0,,,,website
0b3ok5peccog4kq9yxdhsabytp,0.97,944.0,1,250,0.0,,,,website
0b71w52cjyqmul4wros96if6jo,0.985,232.0,1,689,0.0,,,,website
0b75omatfjvdeesmrejqdb4kyr,0.945,146.0,3,364,0.0,,,,app
0b804horbgdzp8lbqscqk2aajj,0.765,976.0,8,694,0.0,,,,website
0bga5v0xz8zj1s68xtk5mddip1,0.91,236.39999999999998,4,699,0.0,,,,app
0bgqr2ixfmywz8vpl4obs4gkqi,1.0,132.0,1,690,0.0,,,,website
0bh0y4m5j4w1ckjatylov32wq0,0.87,183.8,3,713,0.0,,,,terze_parti
0bhi7khufiy6idse6r3jtdlivy,0.94,129.0,1,693,0.0,,,,website
0biqrvu37ombfwitigjjxmmx8x,0.785,138.0,3,665,0.0,,M,expert,app
0bjq1t4dmovpoowxfc525s7j1e,0.78,796.3,8,659,0.0,,M,intermediate,website
0bjrg28ngsuuil95mezmzqvgyw,0.935,312.0,1,357,0.0,,,,website
0bll5is2egy9dxakd6rexohpy0,0.805,291.0,1,658,0.0,,F,intermediate,app
0bmv0aaftlz5noltxpaxapb3fz,0.995,160.0,1,690,0.0,,,,website
0boh4lqusdryl40gzqgyfeeyxb,0.82375,127.0,3,692,0.0,,,,app
0bsecnn1kxulw1t5eojy4mcwzx,0.9866666666666666,165.75,1,362,0.0,,,,website
0btjmqjfxcetbxq4lllru86flj,0.9,560.7,5,657,0.0,,,,website
0btpy2b40ugi8h1cdbi3espbhn,0.97,314.0,2,279,0.0,,,,welfare
0buamhurzcarvshlg2cdh499aj,0.965,958.2,1,302,0.0,,,,website
0bucntzohuur8xfjvjvqb5kftv,1.0,152.7,1,307,0.0,,,,website
0buf1c9qurcndcpttjyrkhvirs,1.0,253.5,1,65,0.0,,,,website
0bvtpssndyvdee3ni1w64nhuww,0.985,448.15,1,337,0.0,,,,website
0bw1ptkpvuqoi4skqg2dc7ygws,0.835,182.0,2,345,0.0,,,,app
0bw2fe6tiivk88melkc5oufp0r,0.745,320.4,6,308,1.0,,F,beginner,app
0c1gtlq5wwufmftzcidcplc8lc,0.94,225.0,5,342,0.0,,F,beginner,website
0c4obovckielyv6w0hcrvsqvhp,0.9225,324.0,3,359,0.0,,,,website
